festival_wikidata_id,festival_name,festival_type,destination_wikidata_id,destination_name,start_date,end_date,inception
Q23662817,Q23662817,festival,Q29,Spain,,,
Q23663100,Cavalcade of Magi of Vila-real,festival,Q29,Spain,,,
Q24254507,Classic Theater Festival of Olmedo,festival,Q29,Spain,,,
Q23658022,Q23658022,festival,Q29,Spain,,,
Q23658023,Q23658023,festival,Q29,Spain,,,
Q23662974,Q23662974,festival,Q29,Spain,,,
Q23898507,Q23898507,festival,Q29,Spain,,,
Q23663121,Q23663121,festival,Q29,Spain,,,
Q23658025,Q23658025,festival,Q29,Spain,,,
Q23894908,Q23894908,festival,Q29,Spain,,,
Q23663130,Q23663130,festival,Q29,Spain,,,
Q23662746,The Little Shepherds of Ciudadela,festival,Q29,Spain,,,
Q23662831,Q23662831,festival,Q29,Spain,,,
Q21855013,Antruejo de Llamas de la Ribera,festival,Q29,Spain,,,
Q23662634,"Festa de la Verge del Carme, Sant Antoni de Portmany",festival,Q29,Spain,,,
Q23663129,Q23663129,festival,Q29,Spain,,,
Q23891312,Q23891312,festival,Q29,Spain,,,
Q23658034,Q23658034,festival,Q29,Spain,,,
Q25410573,Q25410573,festival,Q29,Spain,,,
Q23898518,Q23898518,festival,Q29,Spain,,,
Q23658035,Q23658035,festival,Q29,Spain,,,
Q23658032,Q23658032,festival,Q29,Spain,,,
Q23658033,Q23658033,festival,Q29,Spain,,,
Q23662785,Festival in honour of Sant Antoni Abad,festival,Q29,Spain,,,
Q23663138,Q23663138,festival,Q29,Spain,,,
Q23891323,Q23891323,festival,Q29,Spain,,,
Q23663142,Q23663142,festival,Q29,Spain,,,
Q23894775,Q23894775,festival,Q29,Spain,,,
Q25421816,Q25421816,festival,Q29,Spain,2011-01-01T00:00:00Z,,
Q23663140,Q23663140,festival,Q29,Spain,,,
Q23891326,Q23891326,festival,Q29,Spain,,,
Q23662695,Q23662695,festival,Q29,Spain,,,
Q23663395,First Cut of Honey in Ayora,festival,Q29,Spain,,,
Q23894778,Q23894778,festival,Q29,Spain,,,
Q23663146,Q23663146,festival,Q29,Spain,,,
